,stepsize_inv,iterations,error
0,8,205,9.80012356035931e-11
1,16,737,9.929154192659598e-11
2,32,2684,9.930715167600718e-11
3,64,10052,9.995656417896476e-11
4,128,38496,9.977593281987008e-11
5,256,100000,1.4844862750547946e-07
