h,0.125,0.0625,0.03125,0.015625,0.0078125,0.00390625,0.125,0.0625,0.03125,0.015625,0.0078125,0.00390625,0.125,0.0625,0.03125,0.015625,0.0078125,0.00390625,0.125,0.0625,0.03125,0.015625,0.0078125,0.00390625
epsilon,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
restart,,,,,,,,,,,,,,,,,,,,,,,,
5,9,17,52,285,1000,1000,9,17,61,94,163,300,9,17,33,65,129,257,9,17,33,65,129,257
10,9,17,52,285,1000,1000,9,17,61,94,163,300,9,17,33,65,129,257,9,17,33,65,129,257
20,9,17,52,285,1000,1000,9,17,61,94,163,300,9,17,33,65,129,257,9,17,33,65,129,257
30,9,17,52,285,1000,1000,9,17,61,94,163,300,9,17,33,65,129,257,9,17,33,65,129,257
40,9,17,52,285,1000,1000,9,17,61,94,163,300,9,17,33,65,129,257,9,17,33,65,129,257
50,9,17,52,285,1000,1000,9,17,61,94,163,300,9,17,33,65,129,257,9,17,33,65,129,257
